#CAEN board	CAEN Ch	layer	assembly	board channel	row	column
4	9	38	039	2	1	1
4	10	38	039	3	1	2
4	11	38	039	4	1	3
4	12	38	039	5	0	3
4	13	38	039	6	0	2
4	14	38	039	7	0	1
4	15	38	039	8	0	0
4	0	39	040	1	1	0
4	1	39	040	2	1	1
4	2	39	040	3	1	2
4	3	39	040	4	1	3
4	4	39	040	5	0	3
4	5	39	040	6	0	2
4	6	39	040	7	0	1
4	7	39	040	8	0	0
5	56	40	041	1	1	0
5	57	40	041	2	1	1
5	58	40	041	3	1	2
5	59	40	041	4	1	3
5	60	40	041	5	0	3
5	61	40	041	6	0	2
5	62	40	041	7	0	1
5	63	40	041	8	0	0
5	48	41	042	1	1	0
5	49	41	042	2	1	1
5	50	41	042	3	1	2
5	51	41	042	4	1	3
5	52	41	042	5	0	3
5	53	41	042	6	0	2
5	54	41	042	7	0	1
5	55	41	042	8	0	0
5	40	42	043	1	1	0
5	41	42	043	2	1	1
5	42	42	043	3	1	2
5	43	42	043	4	1	3
5	44	42	043	5	0	3
5	45	42	043	6	0	2
5	46	42	043	7	0	1
5	47	42	043	8	0	0
5	32	43	044	1	1	0
5	33	43	044	2	1	1
5	34	43	044	3	1	2
5	35	43	044	4	1	3
5	36	43	044	5	0	3
5	37	43	044	6	0	2
5	38	43	044	7	0	1
5	39	43	044	8	0	0
5	24	44	045	1	1	0
5	25	44	045	2	1	1
5	26	44	045	3	1	2
5	27	44	045	4	1	3
5	28	44	045	5	0	3
5	29	44	045	6	0	2
5	30	44	045	7	0	1
5	31	44	045	8	0	0
5	16	45	046	1	1	0
5	17	45	046	2	1	1
5	18	45	046	3	1	2
5	19	45	046	4	1	3
5	20	45	046	5	0	3
5	21	45	046	6	0	2
5	22	45	046	7	0	1
5	23	45	046	8	0	0
5	8	46	047	1	1	0
5	9	46	047	2	1	1
5	10	46	047	3	1	2
5	11	46	047	4	1	3
5	12	46	047	5	0	3
5	13	46	047	6	0	2
5	14	46	047	7	0	1
5	15	46	047	8	0	0
5	0	47	048	1	1	0
5	1	47	048	2	1	1
5	2	47	048	3	1	2
5	3	47	048	4	1	3
5	4	47	048	5	0	3
5	5	47	048	6	0	2
5	6	47	048	7	0	1
5	7	47	048	8	0	0
6	56	48	049	1	1	0
6	57	48	049	2	1	1
6	58	48	049	3	1	2
6	59	48	049	4	1	3
6	60	48	049	5	0	3
6	61	48	049	6	0	2
6	62	48	049	7	0	1
6	63	48	049	8	0	0
6	48	49	050	1	1	0
6	49	49	050	2	1	1
6	50	49	050	3	1	2
6	51	49	050	4	1	3
6	52	49	050	5	0	3
6	53	49	050	6	0	2
6	54	49	050	7	0	1
6	55	49	050	8	0	0
6	40	50	051	1	1	0
6	41	50	051	2	1	1
6	42	50	051	3	1	2
6	43	50	051	4	1	3
6	44	50	051	5	0	3
6	45	50	051	6	0	2
6	46	50	051	7	0	1
6	47	50	051	8	0	0
6	32	51	052	1	1	0
6	33	51	052	2	1	1
6	34	51	052	3	1	2
6	35	51	052	4	1	3
6	36	51	052	5	0	3
6	37	51	052	6	0	2
6	38	51	052	7	0	1
6	39	51	052	8	0	0
6	24	52	053	1	1	0
6	25	52	053	2	1	1
6	26	52	053	3	1	2
6	27	52	053	4	1	3
6	28	52	053	5	0	3
6	29	52	053	6	0	2
6	30	52	053	7	0	1
6	31	52	053	8	0	0
6	16	53	054	1	1	0
6	17	53	054	2	1	1
6	18	53	054	3	1	2
6	19	53	054	4	1	3
6	20	53	054	5	0	3
6	21	53	054	6	0	2
6	22	53	054	7	0	1
6	23	53	054	8	0	0
6	8	54	055	1	1	0
6	9	54	055	2	1	1
6	10	54	055	3	1	2
6	11	54	055	4	1	3
6	12	54	055	5	0	3
6	13	54	055	6	0	2
6	14	54	055	7	0	1
6	15	54	055	8	0	0
6	0	55	056	1	1	0
6	1	55	056	2	1	1
6	2	55	056	3	1	2
6	3	55	056	4	1	3
6	4	55	056	5	0	3
6	5	55	056	6	0	2
6	6	55	056	7	0	1
6	7	55	056	8	0	0
7	56	56	057	1	1	0
7	57	56	057	2	1	1
7	58	56	057	3	1	2
7	59	56	057	4	1	3
7	60	56	057	5	0	3
7	61	56	057	6	0	2
7	62	56	057	7	0	1
7	63	56	057	8	0	0
7	48	57	058	1	1	0
7	49	57	058	2	1	1
7	50	57	058	3	1	2
7	51	57	058	4	1	3
7	52	57	058	5	0	3
7	53	57	058	6	0	2
7	54	57	058	7	0	1
7	55	57	058	8	0	0
7	40	58	059	1	1	0
7	41	58	059	2	1	1
7	42	58	059	3	1	2
7	43	58	059	4	1	3
7	44	58	059	5	0	3
7	45	58	059	6	0	2
7	46	58	059	7	0	1
7	47	58	059	8	0	0
7	32	59	060	1	1	0
7	33	59	060	2	1	1
7	34	59	060	3	1	2
7	35	59	060	4	1	3
7	36	59	060	5	0	3
7	37	59	060	6	0	2
7	38	59	060	7	0	1
7	39	59	060	8	0	0
7	24	60	061	1	1	0
7	25	60	061	2	1	1
7	26	60	061	3	1	2
7	27	60	061	4	1	3
7	28	60	061	5	0	3
7	29	60	061	6	0	2
7	30	60	061	7	0	1
7	31	60	061	8	0	0
7	16	61	062	1	1	0
7	17	61	062	2	1	1
7	18	61	062	3	1	2
7	19	61	062	4	1	3
7	20	61	062	5	0	3
7	21	61	062	6	0	2
7	22	61	062	7	0	1
7	23	61	062	8	0	0
7	8	62	063	1	1	0
7	9	62	063	2	1	1
7	10	62	063	3	1	2
7	11	62	063	4	1	3
7	12	62	063	5	0	3
7	13	62	063	6	0	2
7	14	62	063	7	0	1
7	15	62	063	8	0	0
7	0	63	064	1	1	0
7	1	63	064	2	1	1
7	2	63	064	3	1	2
7	3	63	064	4	1	3
7	4	63	064	5	0	3
7	5	63	064	6	0	2
7	6	63	064	7	0	1
7	7	63	064	8	0	0
